Cruise,lat,lon
EN-001,48.800,-68.600
EN-001,48.700,-62.633
EN-001,45.608,-60.272
EN-001,43.333,-64.100
EN-001,40.783,-65.600
EN-001,41.025,-69.083
EN-001,41.167,-71.383
EN-002,40.717,-70.000
EN-002,40.833,-69.208
EN-003,38.550,-70.223
EN-003,41.368,-70.752
EN-003,40.700,-69.967
EN-003,41.467,-70.733
EN-004,40.537,-70.008
EN-004,40.870,-68.350
EN-004,40.833,-69.230
EN-004,40.010,-69.527
EN-005,41.042,-69.563
EN-005,41.003,-69.390
EN-005,41.042,-69.395
EN-005,41.358,-71.188
EN-006,38.083,-67.500
EN-006,35.407,-62.890
EN-006,33.857,-54.745
EN-006,32.535,-56.703
EN-006,32.998,-59.830
EN-006,33.728,-62.673
EN-006,35.033,-68.533
EN-006,38.892,-70.158
EN-006,41.483,-71.342
EN-007,39.777,-74.000
EN-007,35.033,-66.683
EN-007,31.917,-65.283
EN-007,30.333,-68.117
EN-007,29.425,-69.975
EN-007,29.998,-70.003
EN-007,30.080,-69.698
EN-007,30.117,-70.117
EN-007,30.508,-70.060
EN-007,31.375,-70.000
EN-007,31.487,-70.533
EN-007,31.600,-70.022
EN-007,32.125,-69.980
EN-007,31.600,-68.500
EN-007,29.500,-69.997
EN-007,29.383,-70.000
EN-007,26.500,-69.983
EN-007,26.000,-70.000
EN-007,24.750,-70.033
EN-007,24.017,-70.100
EN-007,24.050,-70.750
EN-007,25.350,-75.667
EN-008,25.417,-75.392
EN-008,24.775,-71.933
EN-008,23.617,-73.550
EN-008,22.883,-71.055
EN-008,23.003,-69.972
EN-008,22.642,-70.760
EN-008,22.780,-71.078
EN-008,22.345,-71.192
EN-008,24.667,-72.000
EN-008,24.733,-71.750
EN-008,25.283,-71.567
EN-008,29.350,-67.950
EN-008,32.547,-64.688
EN-008,36.417,-68.050
EN-008,36.570,-67.570
EN-008,36.000,-68.250
EN-008,38.390,-69.765
EN-008,38.415,-69.798
EN-009,37.850,-69.783
EN-009,35.565,-68.545
EN-009,35.750,-68.667
EN-009,35.543,-69.005
EN-009,35.300,-70.092
EN-009,36.550,-74.800
EN-009,37.217,-76.183
EN-009,34.500,-76.225
EN-009,33.190,-75.017
EN-009,32.583,-74.467
EN-009,32.197,-74.200
EN-009,32.170,-73.792
EN-009,33.550,-76.000
EN-009,32.255,-79.903
EN-009,30.100,-79.750
EN-009,27.700,-78.900
EN-009,27.717,-78.933
EN-009,27.755,-78.992
EN-009,27.775,-78.945
EN-010,23.567,-83.787
EN-010,24.275,-82.158
EN-010,23.435,-84.988
EN-010,23.005,-87.288
EN-010,21.767,-87.950
EN-010,24.000,-88.000
EN-010,28.767,-90.238
EN-010,21.988,-92.175
EN-010,20.883,-90.850
EN-010,19.557,-91.983
EN-010,22.295,-92.185
EN-010,21.933,-89.747
EN-010,22.412,-89.748
EN-010,21.612,-89.705
EN-010,21.927,-89.920
EN-010,21.913,-90.117
EN-010,21.877,-90.250
EN-010,21.877,-90.365
EN-010,21.883,-90.417
EN-010,21.998,-89.708
EN-010,25.467,-86.750
EN-010,25.312,-86.940
EN-010,25.120,-86.995
EN-010,24.917,-86.997
EN-010,24.792,-80.573
EN-011,34.450,-71.630
EN-011,33.633,-73.283
EN-011,33.535,-73.138
EN-011,34.325,-72.187
EN-011,34.483,-71.040
EN-011,34.650,-71.017
EN-011,34.483,-71.900
EN-011,35.097,-71.912
EN-011,34.500,-71.917
EN-011,34.170,-72.113
EN-011,33.953,-72.113
EN-011,35.047,-70.000
EN-011,34.942,-72.325
EN-011,34.700,-72.013
EN-011,37.777,-70.278
EN-011,38.487,-69.097
EN-011,39.117,-71.070
EN-012,37.183,-72.758
EN-012,36.523,-74.088
EN-012,35.790,-73.428
EN-012,36.033,-73.423
EN-012,36.995,-73.572
EN-012,36.265,-73.738
EN-012,34.865,-74.162
EN-012,34.847,-72.917
EN-012,35.445,-74.047
EN-012,37.073,-74.127
EN-012,36.287,-73.745
EN-012,36.223,-73.700
EN-012,36.013,-73.450
EN-012,36.485,-73.868
EN-012,33.913,-76.185
EN-013,31.438,-75.345
EN-013,30.602,-73.983
EN-013,28.978,-73.047
EN-013,24.998,-70.772
EN-013,24.248,-69.683
EN-013,25.633,-69.900
EN-013,27.908,-69.742
EN-013,29.762,-68.922
EN-013,30.680,-66.792
EN-013,31.903,-65.178
EN-013,32.350,-64.700
EN-013,35.055,-61.017
EN-013,35.978,-65.717
EN-013,36.875,-71.198
EN-014,42.217,-70.350
EN-014,42.550,-70.400
EN-014,43.050,-70.317
EN-014,41.617,-69.118
EN-014,41.252,-70.995
EN-015,40.497,-69.997
EN-015,38.750,-69.597
EN-015,36.447,-69.358
EN-015,36.095,-69.482
EN-015,36.278,-69.830
EN-015,36.053,-69.088
EN-015,35.828,-69.103
EN-015,36.012,-69.417
