cruise,lon,lat
EN655,-71.4074,41.4815
EN655,-71.4119,41.4518
EN655,-71.3976,41.4242
EN655,-71.297,41.3793
EN655,-71.2455,41.3558
EN655,-71.1939,41.3346
EN655,-71.1432,41.3128
EN655,-71.094,41.2902
EN655,-71.0422,41.2711
EN655,-70.9907,41.2508
EN655,-70.9425,41.2278
EN655,-70.8948,41.2079
EN655,-70.8799,41.2036
EN655,-70.8757,41.1982
EN655,-70.8719,41.1892
EN655,-70.8769,41.1476
EN655,-70.8788,41.1043
EN655,-70.8817,41.0612
EN655,-70.8699,41.0291
EN655,-70.8724,41.0305
EN655,-70.8834,41.0328
EN655,-70.8782,41.025
EN655,-70.8817,41.0123
EN655,-70.8806,40.993
EN655,-70.88,40.9754
EN655,-70.8794,40.9674
EN655,-70.8799,40.9584
EN655,-70.8789,40.9464
EN655,-70.883,40.9009
EN655,-70.8834,40.8629
EN655,-70.8818,40.8584
EN655,-70.8815,40.8516
EN655,-70.881,40.8445
EN655,-70.8812,40.8374
EN655,-70.88,40.871
EN655,-70.8827,40.9148
EN655,-70.8867,40.9591
EN655,-70.8864,41.0031
EN655,-70.8777,41.0299
EN655,-70.8354,41.0461
EN655,-70.8077,41.0519
EN655,-70.8032,41.0635
EN655,-70.7516,41.0692
EN655,-70.6964,41.0693
EN655,-70.6467,41.0678
EN655,-70.7031,41.0697
EN655,-70.7591,41.0695
EN655,-70.7945,41.0696
EN655,-70.8489,41.0696
EN655,-70.9031,41.0688
EN655,-70.9568,41.0691
EN655,-70.9955,41.0687
EN655,-71.0121,41.0692
EN655,-71.0661,41.0697
EN655,-71.1173,41.0681
EN655,-71.0644,41.0689
EN655,-71.0089,41.0696
EN655,-70.9523,41.0689
EN655,-70.8963,41.0695
EN655,-70.8809,41.0608
EN655,-70.8976,41.017
EN655,-70.8991,40.9946
EN655,-70.8893,40.9773
EN655,-70.884,40.9597
EN655,-70.882,40.941
EN655,-70.8818,40.9221
EN655,-70.8818,40.9031
EN655,-70.8824,40.8845
EN655,-70.8823,40.8661
