cruise,lon,lat
EN694,-71.4061,41.5852
EN694,-71.3921,41.5708
EN694,-71.3973,41.5293
EN694,-71.4156,41.4932
EN694,-71.4118,41.4572
EN694,-71.4207,41.4143
EN694,-71.4285,41.3967
EN694,-71.4319,41.351
EN694,-71.4168,41.3142
EN694,-71.4196,41.356
EN694,-71.4166,41.3982
EN694,-71.4105,41.4389
EN694,-71.4074,41.4817
EN694,-71.3986,41.5247
EN694,-71.3919,41.5697
EN694,-71.4082,41.5853
EN695,-71.405,41.5853
EN695,-71.391,41.5732
EN695,-71.3943,41.5484
EN695,-71.4076,41.5111
EN695,-71.4085,41.4728
EN695,-71.4115,41.4338
EN695,-71.3895,41.4218
EN695,-71.3421,41.4013
EN695,-71.2952,41.3807
EN695,-71.2483,41.3602
EN695,-71.2014,41.3393
EN695,-71.1546,41.3186
EN695,-71.1075,41.2975
EN695,-71.0605,41.2767
EN695,-71.0153,41.2561
EN695,-70.97,41.2355
EN695,-70.9246,41.2152
EN695,-70.8809,41.1961
EN695,-70.8847,41.1971
EN695,-70.8838,41.1903
EN695,-70.884,41.1672
EN695,-70.8839,41.1421
EN695,-70.8846,41.1348
EN695,-70.8849,41.1222
EN695,-70.8845,41.1056
EN695,-70.8851,41.0853
EN695,-70.8849,41.065
EN695,-70.8846,41.0446
EN695,-70.8841,41.0243
EN695,-70.8858,41.0152
EN695,-70.8854,40.9831
EN695,-70.8854,40.9438
EN695,-70.8864,40.9044
EN695,-70.8863,40.8652
EN695,-70.887,40.8261
EN695,-70.8877,40.7873
EN695,-70.8889,40.7452
EN695,-70.8889,40.703
EN695,-70.8886,40.6614
EN695,-70.889,40.6198
EN695,-70.8882,40.5784
EN695,-70.8871,40.5367
EN695,-70.8872,40.4947
EN695,-70.887,40.4527
EN695,-70.8866,40.4104
EN695,-70.887,40.3687
EN695,-70.8871,40.367
EN695,-70.8883,40.3707
EN695,-70.8873,40.3759
EN695,-70.8835,40.371
EN695,-70.8842,40.3346
EN695,-70.8852,40.2933
EN695,-70.8845,40.2517
EN695,-70.8856,40.2106
EN695,-70.8848,40.1708
EN695,-70.8835,40.1305
